ID,Title,Description,Views,Likes,Author,Slides,UploadDate,Thumbnail,IframeURL
35407670,Contoh proposal skripsi,"Proposal ini membahas perancangan sistem e-commerce untuk toko buku PT. Gadika Pustaka dengan tujuan memberikan kemudahan bagi pelanggan dan meningkatkan penjualan. Sistem ini akan menyediakan informasi produk, pemesanan, manajemen data buku, dan pembayaran secara online. Metode penelitian menggunakan studi pustaka, wawancara, dan model perancangan waterfall.",314948,27,Firmansyah Drei'und-zwanzig,8,03-Jun-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalskripsi-140602191748-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/4IAkGMJOB8h6rF
252625130,(RPP) Rencana Aksi 1 - Aisyah Safitri.pdf,"1. Rencana pelaksanaan pembelajaran mata pelajaran Produk Kreatif dan Kewirausahaan untuk kelas XII BDP di SMK Negeri 31 Jakarta dengan topik Media Promosi Pemasaran Online. 
2. Pembelajaran dilakukan dengan model Project Based Learning dimana siswa dibagi kelompok untuk membuat poster promosi secara online menggunakan aplikasi Canva.
3. Kegiatan pembelajaran meliputi perencanaan, pelaksanaan pembuatan poster, presentasi, dan evalu",2580,0,Aisyah Safitri Hayati,20,21-Aug-22,https://cdn.slidesharecdn.com/ss_thumbnails/rpprencanaaksi1-aisyahsafitri-220820175534-54f50001-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/d7HvuDlaGIvqCN
139672221,Contoh  proposal tesis,"Ringkasan dokumen tersebut adalah Model pembelajaran tematik terpadu dengan pendekatan saintifik melalui pembelajaran berbasis proyek untuk siswa kelas IV SD Alam Bekasi akan dikembangkan dan dievaluasi untuk mengetahui kualitasnya yang mencakup valid, praktis dan efektif. Penelitian ini akan menghasilkan produk berupa buku model, panduan guru, buku kerja siswa, dan dilaksanakan di SD Alam Bekasi.",1651,5,Hosyatul Aliyah,21,05-Apr-19,https://cdn.slidesharecdn.com/ss_thumbnails/seminarproposaltesis-hosyatulaliyah-190405072525-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/xETyFjft3j2Qwf
270409058,Contoh Proposal Bali Flower Festival.pdf,"Bali Flower Festival yang akan diadakan pada 12-13 Juli 2024 adalah acara tahunan kedua yang bertujuan untuk mendidik masyarakat tentang peran penting industri bunga dalam kehidupan sehari-hari. Festival ini akan memperkenalkan berbagai jenis bunga serta mendukung pertumbuhan komunitas industri bunga yang inklusif melalui bazar, talk show, dan workshop. Misi utama adalah untuk mengurangi kesenjangan antara pemula dan senior serta menginspirasi masyarakat dalam menyusun dan merawat bunga.",31,0,YogiMaheswari,7,22-Jul-24,https://cdn.slidesharecdn.com/ss_thumbnails/proposalbaliflowerfestival-240722134205-ff4e57d7-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/635cerrDtOwQw
42603557,Contoh presentasi proposal skripsi,"Dokumen ini adalah proposal skripsi yang mengkaji pengaruh pengawasan terhadap kinerja pegawai di perbankan syariah, khususnya Bank Syariah Mandiri cabang Bogor. Penelitian ini bertujuan untuk mengetahui apakah pengawasan mempengaruhi kinerja pegawai, dengan menggunakan data primer dan sekunder serta metode studi lapangan. Kasus-kasus kegagalan pengawasan yang terjadi di bank syariah menunjukkan pentingnya regulasi dan pengawasan yang efektif dalam industri perbankan syariah.",11493,8,Yusuf Darismah,13,11-Dec-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohpresentasiproposalskripsi-141211071008-conversion-gate01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/tm8bqvwVAjz1IG
41197676,Contoh proposal smpit_utk_grant_rkb_rpl,Proposal ini meminta bantuan dana pemerintah untuk pembangunan 3 ruang kelas baru dan 2 ruang perlengkapan lainnya di Sekolah Menengah Pertama Islam Terpadu Nama Sekolah. Proposal ini menjelaskan kondisi sekolah yang membutuhkan ruang kelas dan fasilitas tambahan untuk menampung jumlah siswa yang bertambah beserta rincian anggaran yang dibutuhkan.,1783,2,Ahmad Latif,8,06-Nov-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalsmpitutkgrantrkbrpl-141106035436-conversion-gate01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/nR3zsW6vFNL2AP
39254354,Contoh proposal penelitian,"Dokumen tersebut merupakan proposal penelitian kualitatif yang membahas latar belakang kebiasaan membaca mahasiswa psikologi UIN Malang. Dokumen menjelaskan bahwa kesempatan membaca mahasiswa banyak, namun perlu diteliti lebih lanjut faktor dan dampak kebiasaan membaca. Tujuan penelitian adalah mengetahui kebiasaan, faktor, dan dampak membaca mahasiswa psikologi UIN Malang untuk meningkatkan perkembangan mereka",5120,5,EDIS BLOG,18,18-Sep-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpenelitian-140918122043-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/Fl5Hk6D65ivpjB
49059737,Contoh proposal kegiatan tata boga,"Proposal ini memberikan panduan lengkap untuk membuat kue putri salju, mulai dari daftar bahan dan peralatan yang dibutuhkan, langkah-langkah pembuatan, hingga pembagian tugas dan waktu. Tujuannya agar siswa dapat mempelajari cara membuat kue putri salju secara sistematis beserta penyajiannya.",40569,4,avsai,9,06-Jun-15,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalkegiatantataboga-150606061054-lva1-app6891-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/FPZf53JIV7zFQE
95888816,Contoh proposal kegiatan pmr,"Proposal ini merinci rencana pelaksanaan pelatihan dasar untuk calon anggota Palang Merah Remaja di SMA Negeri 1 Karanganyar pada akhir September 2012. Pelatihan ini bertujuan melatih keterampilan para calon anggota dalam menangani korban bencana serta meresmikan keanggotaan mereka. Kegiatan mencakup pemberian materi, simulasi praktis, dan permainan.",55227,22,Risou Kun,6,04-May-18,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalkegiatanpmr-180504003633-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/qHMw5LBMrHr0Lf
43765877,Contoh proposal-kegiatan,"Proposal untuk mengadakan kegiatan perkemahan dua hari bagi pramuka penggalang tingkat Ramu, Rakit, dan Terap untuk meningkatkan mutu pendidikan kepramukaan dan melatih keterampilan mereka. Kegiatan tersebut akan diikuti sekitar 50 peserta dan mencakup berbagai materi dan lomba pramuka.",62282,11,Andre Data,24,22-Jan-15,https://cdn.slidesharecdn.com/ss_thumbnails/contoh-proposal-kegiatan-150121215146-conversion-gate02-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/1VYmhw3j0U36Zp
